Probe Name;20240604_30103010090426-01_Sample01_01.RCC;20240604_30103010090426-01_Sample02_02.RCC;20240604_30103010090426-01_Sample04_04.RCC;20240604_30103010090426-01_Sample06_06.RCC;20240604_30103010090426-01_Sample07_07.RCC;20240604_30103010090426-01_Sample08_08.RCC;20240604_30103010090426-01_Sample09_09.RCC;20240604_30103010090426-01_Sample10_10.RCC;20240604_30103010090426-01_Sample11_11.RCC;20240604_30103010090426-01_Sample12_12.RCC
hsa-miR-1307-5p;43;54;52;40;52;42;62;54;27;36
hsa-miR-130a-3p;61;113;92;183;63;71;85;152;146;168
hsa-miR-130b-3p;22;23;20;15;21;25;23;14;22;10
hsa-miR-132-3p;38;36;19;31;35;27;22;21;24;26
hsa-miR-1322;31;32;41;27;44;31;29;41;31;26
hsa-miR-1323;27;43;43;37;32;27;38;36;16;18
hsa-miR-133a-3p;28;33;36;20;35;24;31;27;23;24
hsa-miR-133a-5p;27;50;31;32;28;30;28;37;23;26
hsa-miR-133b;28;60;25;31;45;54;36;22;23;27
hsa-miR-134-3p;25;26;35;31;29;22;25;29;22;19
hsa-miR-134-5p?miR-6728-5p;23;29;26;14;20;19;18;17;17;17
hsa-miR-135a-5p;13;9;21;14;25;15;15;15;12;7
hsa-miR-135b-5p;16;22;25;19;22;15;24;22;26;17
hsa-miR-136-5p;24;22;25;22;23;19;13;22;17;11
hsa-miR-137;47;38;22;26;30;26;33;32;22;20
hsa-miR-138-5p;36;20;32;41;43;37;37;35;29;25
hsa-miR-139-3p;26;37;32;28;33;36;33;27;30;33
hsa-miR-139-5p;12;6;9;7;10;11;9;11;3;10
hsa-miR-140-3p;39;38;41;30;30;26;24;23;24;27
hsa-miR-140-5p;26;30;39;33;30;21;33;29;36;24
hsa-miR-141-3p;31;25;48;35;50;39;29;42;42;25
hsa-miR-142-3p;168;239;145;282;232;174;175;205;315;227
hsa-miR-142-5p;23;35;14;24;23;33;26;15;16;21
hsa-miR-143-3p;20;73;35;38;50;40;33;42;27;40
hsa-miR-144-3p;240;2158;451;621;754;462;1149;500;694;861
hsa-miR-145-5p;28;53;41;50;42;55;35;33;42;19
hsa-miR-1469;40;86;34;39;56;54;41;36;41;29
hsa-miR-146a-5p;56;58;69;167;70;66;59;65;93;87
hsa-miR-146b-3p;20;25;21;23;17;13;17;16;14;14
hsa-miR-146b-5p;20;29;28;29;38;31;27;28;20;26
hsa-miR-147a;37;43;29;22;34;31;39;27;27;19
hsa-miR-147b;24;22;23;25;14;29;10;21;10;13
hsa-miR-148a-3p;30;52;53;112;27;27;39;141;37;84
hsa-miR-148b-3p;27;53;45;49;40;29;62;45;58;43
hsa-miR-149-5p;37;39;36;22;33;33;24;35;17;22
hsa-miR-150-5p;192;239;150;245;287;203;296;268;478;416
hsa-miR-151a-3p;26;68;37;46;39;47;36;29;47;29
hsa-miR-151a-5p;18;29;12;17;22;28;24;19;17;19
hsa-miR-151b;21;40;26;20;36;35;22;27;23;16
hsa-miR-152-3p;18;41;17;22;28;25;20;26;27;22
hsa-miR-152-5p;25;32;11;19;16;36;12;20;12;22
hsa-miR-153-3p;48;89;53;48;62;73;38;46;44;37
hsa-miR-1537-3p;39;28;42;21;37;22;27;23;27;19
hsa-miR-154-5p;22;20;17;23;14;19;19;14;9;14
hsa-miR-155-5p;30;32;36;43;27;20;30;29;23;31
hsa-miR-15a-5p;74;211;46;76;62;66;92;65;86;69
hsa-miR-15b-5p;101;162;91;138;115;73;109;115;147;102
hsa-miR-16-5p;618;3763;2539;6134;2609;1542;4119;3517;8013;6486
hsa-miR-181a-2-3p;20;32;28;15;27;22;29;26;14;15
hsa-miR-181a-3p;38;50;44;46;45;27;50;44;39;30
hsa-miR-181a-5p;18;16;14;16;20;15;15;15;22;14
hsa-miR-181b-2-3p;36;61;32;43;51;46;52;42;29;32
hsa-miR-181b-5p?miR-181d-5p;26;30;26;20;24;28;23;23;25;16
hsa-miR-181c-5p;14;23;35;24;27;20;19;26;19;16
hsa-miR-181d-3p;21;38;28;14;28;10;22;27;19;11
hsa-miR-182-3p;22;27;30;14;19;21;34;15;15;11
hsa-miR-182-5p;9;13;13;14;12;8;16;8;4;8
hsa-miR-1827;34;49;43;25;46;43;43;36;27;29
hsa-miR-183-5p;35;52;45;46;42;36;49;38;39;45
hsa-miR-184;21;26;17;18;10;22;22;29;15;11
hsa-miR-185-5p;74;132;77;135;94;78;104;64;175;96
hsa-miR-186-5p;48;66;48;76;40;54;67;67;68;47
hsa-miR-187-3p;34;35;35;23;43;37;40;34;25;26
hsa-miR-188-3p;10;22;18;15;25;16;9;22;5;17
hsa-miR-188-5p;47;47;50;35;47;50;40;41;37;37
hsa-miR-18a-5p;24;42;37;31;39;27;45;43;36;30
hsa-miR-18b-5p;18;25;30;23;25;24;14;22;20;13
hsa-miR-1908-3p;28;56;32;30;35;45;31;28;32;22
hsa-miR-1908-5p;26;34;25;30;37;40;25;34;18;19
hsa-miR-1909-3p;34;17;18;19;24;25;20;29;10;18
hsa-miR-190a-3p;16;15;19;12;21;10;24;20;12;20
hsa-miR-190a-5p;17;17;20;17;22;18;21;23;14;18
hsa-miR-190b;16;24;19;6;11;13;9;9;13;14
hsa-miR-191-5p;74;89;72;70;64;55;80;80;76;58
hsa-miR-1910-3p;21;42;22;30;27;23;25;24;22;30
hsa-miR-1910-5p;48;144;78;90;71;52;106;74;107;107
hsa-miR-1915-3p;25;24;18;33;26;16;17;22;19;22
hsa-miR-192-5p;48;49;49;55;44;42;32;38;32;51
hsa-miR-193a-3p;22;22;29;21;25;32;26;20;22;21
hsa-miR-193a-5p?miR-193b-5p;48;60;46;58;52;55;56;57;26;44
hsa-miR-193b-3p;22;58;31;33;30;31;43;37;32;35
hsa-miR-194-5p;33;73;40;51;48;51;40;34;32;37
hsa-miR-195-5p;36;43;29;44;47;30;25;26;22;27
hsa-miR-196a-3p;26;24;27;16;27;21;27;22;18;7
hsa-miR-196a-5p;39;94;49;60;66;69;63;67;53;63
hsa-miR-196b-5p;17;17;11;10;14;15;16;15;17;9
hsa-miR-197-3p;42;39;45;32;37;34;29;43;36;54
hsa-miR-197-5p;36;45;34;33;38;32;35;39;32;23
hsa-miR-1972;52;55;52;50;56;60;40;49;42;47
hsa-miR-1973;20;31;19;20;18;22;23;13;16;9
hsa-miR-1976;17;22;27;13;25;22;18;21;12;7
hsa-miR-198;32;39;37;32;35;34;38;30;19;39
hsa-miR-199a-3p?miR-199b-3p;40;48;32;38;27;32;29;53;45;33
hsa-miR-199a-5p;47;68;68;40;45;39;45;54;42;47
hsa-miR-199b-5p;23;37;22;25;34;23;28;27;23;22
hsa-miR-19a-3p;39;76;57;119;67;51;106;82;147;98
hsa-miR-19b-3p;41;132;85;155;77;68;92;90;164;138
hsa-miR-200a-3p;29;24;35;31;33;18;25;34;24;28
hsa-miR-200b-3p;33;20;31;34;29;30;39;21;34;29
hsa-miR-200c-3p;33;40;48;28;41;41;31;39;28;39
